ID_REF,GSM473654,GSM473655,GSM473656,GSM473657,GSM473658,GSM473659,GSM473660,GSM473661,GSM473662,GSM473663,GSM473664,GSM473665
244901_at,108.4,138.4,205.7,119.1,163.6,115.2,102.4,164,87.4,148.2,175.1,129.5
244902_at,134.5,124.7,9.4,104.1,101.9,62.6,62.7,149.2,18.9,91.8,81.5,60.8
244903_at,9.2,208.1,101.6,169.9,130.8,111.9,164.6,77.7,18.4,144.1,419,164.9
244904_at,14.3,14,28.4,100.5,95.8,163.4,55,115.5,45.2,89.6,200.5,36.9
244905_at,8.5,18.3,8.1,7.6,27.4,16.5,27.3,26.9,11.7,20,7.5,17.3
244906_at,66.5,179.9,137,140.2,168.3,15.7,202.1,199.3,44.9,232.8,151.6,53.1
244907_at,5.2,6.9,11.5,74.2,2,3.9,3.1,5,20,4.5,14.1,5.7
244908_at,51,7.6,7.4,3.2,7.3,6.7,4.9,4.9,7.7,4,4.4,5.2
244909_at,21.8,9.6,28.2,18.1,23.8,19.2,6.2,10.5,9.8,4.4,5.7,21.5
244910_s_at,16.1,20.4,14.8,69,25.2,118.4,27.4,9.9,19.5,51.4,49.9,35.9
244911_at,4.2,16.6,15.4,2.2,3.5,17.9,4.6,2.8,13.2,1.2,5.4,3.1
244912_at,444.2,362.3,337.9,504.9,466.5,486.1,329.9,361.1,502.5,552.9,423.4,653.5
244913_at,12.5,9,50,8.7,4.9,14.5,3.8,6.1,93.4,7.7,8.9,104
244914_at,3.9,37.3,5.7,3.5,2.6,4.8,3.1,2.8,5.8,5.5,3.7,4.3
244915_s_at,6.3,17.3,11.6,55.7,17.6,28.4,48.7,6.5,22.3,61.3,5.1,31.2
244916_at,8,4.1,137.6,18.4,3.2,6,8.7,12.7,24.1,22.2,4,21.4
244917_at,4.2,4.9,9.1,4.7,5.2,5.1,5.3,3.3,24.4,5.2,11.9,56.1
244918_at,24,41.8,11.6,7.7,3.3,7.6,78.1,14.5,7.4,2.9,30.9,6.7
244919_at,70.4,32.9,8.9,40.3,47.2,7.9,14.9,17.4,26.9,11.7,8.8,11.4
244920_s_at,110.3,64.6,145.4,96.6,117.2,120.1,169.6,111.6,403,136.6,165.9,142.4
244921_s_at,62.4,108.7,198.9,54.6,98.9,74.3,70.6,45.6,70,81.7,129.8,83.3
244922_s_at,4.4,77.1,36.7,129.1,54.4,15,34.9,113.5,16.9,80.1,41,129.6
244923_s_at,67,102.4,141.2,14.4,63.3,110.8,122.8,63.7,117.6,66.2,30.5,89.1
244924_at,101.7,30.9,15.3,48.1,8,24.3,65.4,100.4,33.6,17.9,118.5,65.4
244925_at,43.6,84.7,72.3,49,12.7,29.5,83.2,48.7,38.8,88.8,63.3,149.9
244926_s_at,6.2,50,11.8,5.7,5.9,12.3,16.8,6.1,14.9,10.7,9.7,7.1
244927_at,21.8,61.8,101.3,80.7,35.3,20.6,100,56.4,27.8,8.2,120.1,133
244928_s_at,74.6,53.3,347.5,46.9,150.9,108.1,71.1,97.3,253.8,107.1,73.5,96.8
