node_count,no_intervention_pts,utility_type,calculation_method,metric,average_value,single_no
10,2,utility_2,add,spearman,0.9628482972136224,0.9233088079379856
10,2,utility_1,add,spearman,1.0,0.9534903170187385
10,2,utility_3,add,kendall,0.4901960784313726,0.48845873838088205
10,2,utility_1,multiply,spearman,1.0,0.9534903170187385
10,2,utility_2,add,kendall,0.8692810457516341,0.8440141084732382
10,2,utility_3,add,spearman,0.6491228070175438,0.6424921140196194
10,2,utility_2,multiply,spearman,0.9628482972136224,0.9233088079379856
10,2,utility_3,multiply,kendall,0.4901960784313726,0.48845873838088205
10,2,utility_2,multiply,kendall,0.8692810457516341,0.8440141084732382
10,2,utility_1,add,kendall,1.0,0.9534903170187385
10,2,utility_3,multiply,spearman,0.6491228070175438,0.6424921140196194
10,2,utility_1,multiply,kendall,1.0,0.9534903170187385
