node_count,no_intervention_pts,utility_type,calculation_method,metric,average_value,single_no
15,2,utility_3,multiply,kendall,0.0680389017858102,0.06599689887426524
15,4,utility_2,multiply,kendall,-0.007549874065331051,-0.008364416308658855
15,2,utility_2,add,spearman,0.0339248120300752,0.03245045876554509
15,3,utility_3,add,spearman,0.017363408521303258,0.015183197574106773
15,2,utility_1,multiply,kendall,0.23185091975517585,0.22195677402569652
15,3,utility_2,multiply,spearman,-0.0127719298245614,-0.011954216324259873
15,3,utility_1,multiply,spearman,0.15027568922305765,0.14215644478325454
15,3,utility_1,add,spearman,0.1410125313283208,0.13166599990653285
15,3,utility_3,multiply,spearman,0.018967418546365907,0.017116147611804012
15,3,utility_2,add,kendall,0.015134979658650455,0.014715721857372731
15,4,utility_3,multiply,kendall,0.015484959501559835,0.015310480136793748
15,4,utility_2,add,kendall,0.01125330106318113,0.010257054786962403
15,4,utility_1,multiply,spearman,0.09557894736842104,0.09030499899050738
15,4,utility_3,add,kendall,0.00996380131581915,0.009421568691487447
15,2,utility_3,multiply,spearman,0.09533834586466165,0.09048391566403241
15,2,utility_1,add,kendall,0.24171837378088,0.2302391998727301
15,2,utility_2,add,kendall,0.027469877180825795,0.026756218006886878
15,4,utility_1,add,kendall,0.06263037807090824,0.05996901426930331
15,3,utility_3,add,kendall,0.013679948868297013,0.01287018763814873
15,2,utility_1,multiply,spearman,0.30402005012531325,0.2844814032699796
15,2,utility_3,add,kendall,0.05992902359535653,0.05852031559854949
15,2,utility_2,multiply,spearman,0.004471177944862154,0.005267597016713088
15,3,utility_1,multiply,kendall,0.10826582973787142,0.10468098421880224
15,3,utility_1,add,kendall,0.1046842607405418,0.10078791114174804
15,4,utility_2,multiply,spearman,-0.016180451127819552,-0.01794483460602629
15,3,utility_3,multiply,kendall,0.008674126397963946,0.008080384263916046
15,3,utility_2,multiply,kendall,-0.00559944300647484,-0.005241832946679545
15,2,utility_2,multiply,kendall,0.0022496685782624694,0.002536172008712563
15,4,utility_3,add,spearman,0.011027568922305763,0.009955681313587716
15,2,utility_1,add,spearman,0.3085914786967418,0.2868636195242632
15,4,utility_3,multiply,spearman,0.017062656641604,0.01670454513302132
15,4,utility_1,add,spearman,0.08076190476190473,0.07467251890705545
15,4,utility_2,add,spearman,0.01894736842105263,0.016176830462850792
15,2,utility_3,add,spearman,0.08473182957393485,0.0811813634770911
15,3,utility_2,add,spearman,0.01608020050125313,0.01501386533238458
15,4,utility_1,multiply,kendall,0.06742661072240289,0.0652028436233416
