name,WRKY22,MPK4,FLS2,MKK2,PR1,MEK1,MKK4,MKK3,WRKY25
GSM435673,7.051849441,5.335104508,10.27325656,8.438565486,7.568427948,10.00925222,8.737159228,9.554071584,8.065147983
GSM435674,8.646944681,5.551079453,9.809991934,8.431705876,9.586761967,9.997951392,9.305768271,8.23852294,9.156176595
GSM435675,7.387717037,5.476043676,9.460419287,7.641870145,9.065847427,9.553525154,8.070917452,6.994935215,8.072035315
GSM435676,9.322663533,5.250968229,10.51643138,9.029136302,10.38563584,10.71831266,11.19432765,8.426203759,9.79995574
GSM435677,9.659845468,5.276463404,10.48317717,8.149555076,10.7539895,10.60594427,11.03709875,6.50195827,10.37976639
GSM435678,9.184362932,5.027446309,10.41747602,8.765204161,10.17594538,10.75946138,10.62619106,8.339213648,9.769255399
GSM435679,9.004783672,5.468796777,10.82089678,8.79638607,10.22848851,11.12861903,10.64368808,9.064385385,10.01573149
GSM435680,9.47910316,6.646482278,10.70012932,8.168888374,10.83662006,11.1872559,10.37380656,6.651671316,9.911611942
GSM435681,8.412950133,5.640593513,10.53202972,8.397899848,9.666824921,10.44778001,8.786585985,8.037598057,8.748443602
GSM435682,7.413816975,6.009405717,10.27060916,8.199585368,8.87726243,9.896507376,8.384285664,8.765916352,8.465822561
GSM435683,8.041832327,5.832077499,9.996928148,8.442538439,9.435360817,9.784524244,8.16394642,8.732884454,8.837230737
GSM435684,7.463870999,5.279109749,9.767852509,8.048305355,8.658777521,9.808536023,8.579357858,7.509366012,8.610553117
GSM435685,7.150452293,5.473239972,10.07964072,7.99292145,8.559309303,9.890983417,8.935483467,9.163771564,7.925017371
GSM435686,8.109631795,5.949031836,9.687516915,7.355137526,8.491451094,9.592462028,7.890172391,7.806172019,8.491655443
GSM435687,7.828711133,5.16794329,9.827231576,7.914982551,9.23827063,9.911488509,8.45912206,7.761185598,8.342290855
GSM435688,6.925344687,5.355035436,10.03503701,8.19130057,7.979857891,10.07350797,9.105498346,8.414448069,7.473343172
GSM435689,7.876501894,5.934326705,10.03617959,7.859605875,7.730582418,9.842766426,8.399635018,8.017527535,8.46572967
GSM435690,7.775092415,6.150904488,9.902376914,8.011916527,9.318513389,9.971964485,8.332106893,9.559435629,8.971974061
GSM435691,7.002960736,5.37776468,10.15836209,8.109429667,8.329686886,9.940301294,9.193327375,8.159930041,7.392797952
GSM435692,9.174783487,6.288764479,9.960843772,7.481109265,9.294807645,9.607496756,8.327192798,7.033360224,8.9439399
GSM435693,8.305628643,5.567957406,9.618438055,7.474612421,9.565879153,9.54099707,8.201755113,9.365283297,8.698950755
GSM435694,9.34859932,4.987377979,10.55798844,9.026607708,10.58412173,10.65411358,11.53267725,9.044464992,9.627972977
GSM435695,9.838585595,4.913422618,10.62309212,8.737817491,10.81173234,10.69461791,11.24583427,7.416552896,10.08240935
GSM435696,9.706798985,5.289978834,10.44737389,8.55510809,10.13777583,10.3100589,10.99975435,8.184772662,9.972730719
GSM435697,9.264315816,5.588443744,10.77737336,8.880036066,10.17190426,10.92378767,10.68244586,9.133606508,9.84274873
GSM435698,9.469502492,6.027261334,10.8212889,8.486483211,10.2388612,11.00998118,10.32332253,7.126486458,9.719630856
GSM435699,8.905502629,5.707163,10.62834732,8.726963863,9.940850788,11.03353896,9.802470105,7.286819432,9.579231621
GSM435700,8.399276831,5.986655943,10.18733605,8.034814945,9.534230158,10.01356,8.311441579,11.62375633,8.721592362
GSM435701,9.052162548,5.782896211,9.603090534,7.180641988,9.910186263,9.720527479,7.905637431,9.497940144,8.973423428
GSM435702,8.537394269,5.43339737,9.680037943,8.033017798,9.184394888,9.864549901,8.672842385,8.944504865,8.999295751
