iteration,node_count,no_intervention_pts,utility_type,calculation_method,metric,average_value,single_no
7,15,4,utility_1,add,kendall,0.22105263157894736,0.22101801670355006
31,15,3,utility_1,multiply,spearman,0.3293233082706767,0.32907437638512654
2,15,2,utility_3,add,kendall,-0.3263157894736842,-0.3260778576934972
41,15,3,utility_1,multiply,spearman,0.003007518796992481,0.003007518796976077
12,15,3,utility_1,multiply,spearman,0.27368421052631575,0.27358439522065814
15,15,2,utility_2,multiply,spearman,0.5037593984962406,0.5017774857216212
50,15,2,utility_3,multiply,spearman,0.2541353383458646,0.25406618759397787
33,15,3,utility_1,multiply,kendall,0.3263157894736842,0.3260778576934972
31,15,2,utility_3,multiply,spearman,-0.1969924812030075,-0.19697295997470446
10,15,3,utility_1,add,kendall,0.24210526315789474,0.2420508915531183
8,15,3,utility_2,multiply,kendall,0.3368421052631579,0.3365639078688606
36,15,4,utility_2,multiply,kendall,-0.30526315789473685,-0.3050919153539973
52,15,2,utility_3,multiply,spearman,0.4872180451127819,0.48553111094686524
20,15,4,utility_1,multiply,kendall,-0.2736842105263158,-0.2735843952206583
53,15,2,utility_2,add,spearman,0.21804511278195485,0.21801277502114386
28,15,2,utility_1,multiply,kendall,0.4105263157894737,0.4097923815022709
26,15,3,utility_1,add,kendall,0.23746784507298882,0.23741844787627756
43,15,4,utility_3,add,spearman,-0.09172932330827067,-0.09172889156054181
28,15,4,utility_2,multiply,spearman,0.04661654135338346,0.04661652668797066
1,15,3,utility_1,multiply,kendall,0.10526315789473685,0.10526229950600086
42,15,3,utility_1,multiply,kendall,0.2796843508637424,0.2795732293215788
59,15,4,utility_2,add,spearman,0.10375939849624059,0.10375859961004923
29,15,4,utility_3,add,kendall,-0.3263157894736842,-0.3260778576934972
12,15,4,utility_3,multiply,spearman,0.27368421052631575,0.27358439522065814
30,15,2,utility_1,multiply,spearman,0.33533834586466166,0.3350662085472842
3,15,2,utility_1,multiply,spearman,0.3488721804511278,0.34854156684744303
59,15,2,utility_1,multiply,kendall,0.3957797417883147,0.3951659602614515
42,15,2,utility_2,add,spearman,0.27518796992481204,0.27508541095894273
55,15,2,utility_1,multiply,spearman,0.3759398496240601,0.37546271492155336
16,15,3,utility_3,add,kendall,0.0,0.0
19,15,2,utility_1,multiply,spearman,0.5684210526315789,0.5648841867609767
59,15,3,utility_1,multiply,spearman,0.6375939849624059,0.6314989852909632
15,15,3,utility_3,multiply,spearman,-0.06165413533834586,-0.06165407602270888
7,15,3,utility_2,add,spearman,0.45714285714285713,0.4559038405945513
40,15,2,utility_1,multiply,kendall,0.04232863482168851,0.042328625768103104
17,15,3,utility_2,add,spearman,0.0,0.0
3,15,3,utility_3,add,kendall,-0.24210526315789474,-0.2420508915531183
11,15,4,utility_1,multiply,spearman,-0.018045112781954885,-0.01804511265441101
4,15,2,utility_2,multiply,kendall,-0.17894736842105263,-0.17893526584868608
10,15,2,utility_1,multiply,spearman,0.35037593984962395,0.3500382615369783
20,15,3,utility_1,multiply,kendall,-0.14248070704379331,-0.14247681890885708
32,15,3,utility_1,add,spearman,-0.11278195488721804,-0.11278074355867268
24,15,2,utility_1,add,kendall,-0.04774686984581479,-0.04774685331466251
1,15,2,utility_1,add,spearman,-0.20902255639097742,-0.2089963438509244
13,15,3,utility_2,add,spearman,0.018045112781954885,0.01804511265441101
38,15,2,utility_2,add,kendall,0.1368421052631579,0.13683892627378003
19,15,4,utility_1,add,kendall,0.052631578947368425,0.05263155204815639
60,15,4,utility_3,multiply,kendall,-0.042105263157894736,-0.04210525434062847
24,15,3,utility_2,add,spearman,0.10075187969924812,0.10075118993164409
40,15,2,utility_3,multiply,spearman,0.393984962406015,0.3933846770010563
46,15,2,utility_2,multiply,kendall,-0.10526315789473685,-0.10526229950600086
53,15,3,utility_1,multiply,spearman,0.4661654135338345,0.46480319066955444
35,15,4,utility_1,add,kendall,0.22105263157894736,0.22101801670355006
53,15,2,utility_3,multiply,kendall,0.09473684210526316,0.0947363348784088
9,15,3,utility_3,add,kendall,-0.1473684210526316,-0.14736382085161526
36,15,4,utility_2,add,kendall,0.052631578947368425,0.05263155204815639
60,15,4,utility_1,multiply,kendall,-0.042105263157894736,-0.04210525434062847
20,15,4,utility_1,multiply,spearman,-0.3142857142857143,-0.31408800264252873
28,15,2,utility_1,multiply,spearman,0.5864661654135337,0.5823618150089624
34,15,2,utility_1,add,spearman,0.30526315789473685,0.3050919153539973
33,15,3,utility_3,multiply,spearman,0.09473684210526315,0.09473633487840878
35,15,4,utility_1,multiply,spearman,0.31879699248120297,0.3185848853448273
3,15,2,utility_1,multiply,kendall,0.2105263157894737,0.21049915247334955
23,15,2,utility_3,add,spearman,0.38345864661654133,0.3829328910837237
19,15,3,utility_1,multiply,kendall,0.16842105263157894,0.16841210378594335
52,15,2,utility_3,add,kendall,0.24210526315789474,0.2420508915531183
51,15,2,utility_2,add,kendall,0.010526315789473684,0.0105263157808583
4,15,4,utility_1,multiply,spearman,-0.10075187969924812,-0.10075118993164409
36,15,4,utility_2,add,spearman,0.11578947368421053,0.11578809231631905
46,15,3,utility_3,add,spearman,-0.18345864661654135,-0.18344494716810414
13,15,3,utility_2,multiply,spearman,-0.03609022556390977,-0.036090221483834936
17,15,4,utility_2,multiply,spearman,-0.030075187969924807,-0.030075186330016622
26,15,3,utility_2,multiply,spearman,0.5052631578947367,0.5032525658695433
8,15,2,utility_3,add,kendall,0.17894736842105263,0.17893526584868608
18,15,3,utility_2,multiply,kendall,-0.1368421052631579,-0.13683892627378003
37,15,3,utility_1,multiply,kendall,-0.01583118967153259,-0.01583118960524378
52,15,4,utility_1,add,kendall,-0.010526315789473684,-0.0105263157808583
22,15,4,utility_1,add,spearman,0.21353383458646616,0.21350468735559763
31,15,3,utility_2,add,kendall,0.16842105263157894,0.16841210378594335
9,15,4,utility_2,multiply,kendall,-0.0736842105263158,-0.07368406598423834
33,15,4,utility_3,add,kendall,-0.09473684210526316,-0.0947363348784088
44,15,3,utility_2,multiply,spearman,0.20601503759398496,0.20599064708306838
7,15,3,utility_2,multiply,spearman,0.306766917293233,0.30659147042281176
45,15,3,utility_2,multiply,spearman,0.2300751879699248,0.23003296630237585
21,15,2,utility_2,multiply,kendall,-0.17894736842105263,-0.17893526584868608
48,15,2,utility_3,multiply,kendall,0.18947368421052632,0.1894575989307692
17,15,3,utility_1,multiply,kendall,0.2105263157894737,0.21049915247334955
20,15,3,utility_1,add,kendall,-0.3157894736842105,-0.3155870523043374
20,15,3,utility_2,add,spearman,-0.0015037593984962405,-0.0015037593984957279
36,15,3,utility_1,add,kendall,0.19525133928223526,0.1952326613424539
25,15,4,utility_2,add,kendall,0.021052631578947368,0.021052631303285604
21,15,3,utility_2,add,kendall,-0.1473684210526316,-0.14736382085161526
37,15,4,utility_1,multiply,kendall,-0.11578947368421053,-0.11578809231631905
