^DATABASE = Geo
!Database_name = Gene Expression Omnibus (GEO)
!Database_institute = NCBI NLM NIH
!Database_web_link = http://www.ncbi.nlm.nih.gov/geo
!Database_email = geo@ncbi.nlm.nih.gov
!Database_ref = Nucleic Acids Res. 2005 Jan 1;33 Database Issue:D562-6
^DATASET = GDS2101
!dataset_title = Chitin oligomer chitooctaose effect on seedlings
!dataset_description = Analysis of 14-day-old Col-0 seedlings treated with 1 uM chitooctaose for 3 minutes. Chitooctaose, a chitin oligomer, is released by plant enzymes from the cell wall of many plant fungal pathogens. Results provide insight into the plant defense response to fungal elicitors.
!dataset_type = Expression profiling by array
!dataset_pubmed_id = 17722694
!dataset_platform = GPL198
!dataset_platform_organism = Arabidopsis thaliana
!dataset_platform_technology_type = in situ oligonucleotide
!dataset_feature_count = 22810
!dataset_sample_organism = Arabidopsis thaliana
!dataset_sample_type = RNA
!dataset_channel_count = 1
!dataset_sample_count = 6
!dataset_value_type = count
!dataset_reference_series = GSE4746
!dataset_order = none
!dataset_update_date = Oct 10 2012
^SUBSET = GDS2101_1
!subset_dataset_id = GDS2101
!subset_description = control
!subset_sample_id = GSM107437,GSM107438,GSM107439
!subset_type = agent
^SUBSET = GDS2101_2
!subset_dataset_id = GDS2101
!subset_description = chitooctaose
!subset_sample_id = GSM107440,GSM107441,GSM107442
!subset_type = agent
^DATASET = GDS2101
#ID_REF = Platform reference identifier
#IDENTIFIER = identifier
#GSM107437 = Value for GSM107437: Arabidopsis_Water-30M_rep1; src: Arabidopsis 2-week-old seedlings
#GSM107438 = Value for GSM107438: Arabidopsis_Water-30M_rep2; src: Arabidopsis 2-week-old seedlings
#GSM107439 = Value for GSM107439: Arabidopsis_Water-30M_rep3; src: Arabidopsis 2-week-old seedlings
#GSM107440 = Value for GSM107440: Arabidopsis_Chitooctaose-30M_rep1; src: Arabidopsis 2-week-old seedlings
#GSM107441 = Value for GSM107441: Arabidopsis_Chitooctaose-30M_rep2; src: Arabidopsis 2-week-old seedlings
#GSM107442 = Value for GSM107442: Arabidopsis_Chitooctaose-30M_rep3; src: Arabidopsis 2-week-old seedlings
!dataset_table_begin
ID_REF	IDENTIFIER	GSM107437	GSM107438	GSM107439	GSM107440	GSM107441	GSM107442
244901_at	orf25	62.5212	56.3506	42.4972	67.8524	56.8965	65.46
244902_at	nad4L	54.0563	66.5872	82.7841	83.8324	74.6522	88.318
244903_at	ArthMp059	110.381	97.648	165.453	100.205	59.7323	102.369
244904_at	ArthMp060	null	106.573	71.8574	262.084	362.429	250.735
244905_at	ArthMp061	37.0874	41.919	46.1463	44.8088	52.6337	48.2896
244906_at	ArthMp062	169.002	171.935	204.978	233.231	209.337	208.588
244907_at	ArthMp063	35.3021	53.0492	61.6509	62.3963	57.7404	55.381
244908_at	ArthMp064	45.6596	134.687	10.1219	56.2392	50.9812	38.7297
244909_at	ArthMp066	11.1668	16.3493	12.1369	18.7034	16.6214	20.0401
244910_s_at	ArthMp067	43.34	37.3239	64.861	52.8797	52.9453	49.5172
244911_at	ArthMp071	21.9218	7.02857	30.3778	37.976	18.3676	0.12304
244912_at	ccb382	437.623	420.767	766.914	506.762	665.633	624.406
244913_at	ArthMp073	49.0204	50.2924	47.9723	44.4937	61.6167	74.9452
244914_at	ArthMp074	76.1236	18.3862	102.953	9.90022	17.1245	20.7637
244915_s_at	ArthMp075	38.7417	35.6127	51.8074	36.5392	53.1914	21.4532
244916_at	ArthMp077	112.665	111.176	127.395	109.468	119.71	113.878
244917_at	ArthMp076	null	17.2476	8.1375	7.15843	9.65068	26.8017
244918_at	ArthMp078	22.5822	31.7956	22.4182	27.6779	35.0814	21.8303
244919_at	ccb203	127.152	191.483	144.466	146.143	188.295	129.192
244920_s_at	ArthMp086	296.371	394.905	350.732	377.45	333.698	427.501
244921_s_at	ArthMp087	108.934	164.883	124.419	144.442	148.195	172.109
244922_s_at	AT2G07674	89.1036	109.809	94.5445	100.135	99.9052	126.546
244923_s_at	ArthMp089	146.791	178.177	155.469	196.096	232.099	171.485
244924_at	ArthMp091	47.1157	51.8804	50.6819	48.1353	48.8016	58.6992
244925_at	nad7	33.6324	42.9318	19.7352	28.569	36.192	31.2925
244926_s_at	matR	280.079	288.535	180.442	112.323	282.898	325.607
244927_at	ArthMp046	68.9648	85.4811	84.6788	58.5484	83.5304	76.7528
244928_s_at	orfX	80.924	93.5793	106.7	100.981	96.5436	90.9377
244929_at	nad4	758.916	641.836	828.65	922.88	647.368	845.617
244930_at	ArthMp053	30.0256	21.051	50.7469	34.462	43.2871	39.4347
244931_at	ArthMp056	109.363	150.734	102.643	135.14	123.348	85.4684
